SKU,Name,Character,Additional Characters,Faction,Series,Team,Line,Company,Type,Category,Price,Qty,Order Date,Ship Date,Vendor,Order #,notes,Item Total,0
STAG-C,Reformatted STAG Cleavers,,,,,,,Mastermind Creations,third,Upgrade,$12.99,1,2/23/2015,2/27/2015,BBTS,10391637,,$12.99,"$5,714.14"
WB03-A,Warbotron WB03-A - Turbo Ejector,Afterburner,,Autobot,G1,Combaticon,,Warbotron,third,3PMP,$95.99,1,2/23/2015,2/27/2015,BBTS,10391637,,$95.99,"$5,810.13"
MP-24,MP-24 Masterpiece Star Saber,Star Saber,,Autobot,G1,,Masterpiece,Takara,first,MP,$169.99,1,3/24/2015,3/25/2015,BBTS,10544524,,$169.99,"$5,980.12"
,"Generations Leader Combiner Wars 2015 Series 01 - Case of 2 (Megatron, Armada Megatron)",Megatron,,Decepticon,G1,,Combiner Wars,Hasbro,first,Leader,$45.00,1,3/26/2015,3/27/2015,BBTS,10564964,,$45.00,"$6,025.11"
,"Generations Leader Combiner Wars 2015 Series 01 - Case of 2 (Megatron, Armada Megatron)",Megatron,,Decepticon,Armada,,Combiner Wars,Hasbro,first,Leader,$45.00,1,3/26/2015,3/27/2015,BBTS,10564964,,$45.00,"$6,070.11"
,"Generations Deluxe Combiner Wars 2015 Series 02 - Set of 4 (Air Raid, Break Down, Dead End, Decepticon Offroad)",Air Raid,,Autobot,G1,Aerialbots,Combiner Wars,Hasbro,first,Deluxe,$16.50,1,4/2/2015,4/3/2015,BBTS,10612494,,$16.50,"$6,086.61"
,"Generations Deluxe Combiner Wars 2015 Series 02 - Set of 4 (Air Raid, Break Down, Dead End, Decepticon Offroad)",Breakdown,,Decepticon,G1,Stunticon,Combiner Wars,Hasbro,first,Deluxe,$16.50,1,4/2/2015,4/3/2015,BBTS,10612494,,$16.50,"$6,103.10"
,"Generations Deluxe Combiner Wars 2015 Series 02 - Set of 4 (Air Raid, Break Down, Dead End, Decepticon Offroad)",Dead End,,Decepticon,G1,Stunticon,Combiner Wars,Hasbro,first,Deluxe,$16.50,1,4/2/2015,4/3/2015,BBTS,10612494,,$16.50,"$6,119.60"
,"Generations Deluxe Combiner Wars 2015 Series 02 - Set of 4 (Air Raid, Break Down, Dead End, Decepticon Offroad)",Offroad,,Decepticon,CW,Stunticon,Combiner Wars,Hasbro,first,Deluxe,$16.50,1,4/2/2015,4/3/2015,BBTS,10612494,,$16.50,"$6,136.10"
LER-03,Lost Exo-Realm - LER-03 Volar & Velos,Swoop,,Autobot,LER,Dinobots,Lost Exo Realm,FansProject,third,3PMP,$97.99,1,4/15/2015,4/16/2015,BBTS,10679456,,$97.99,"$6,234.09"
